"id","created_at","created_by","updated_at","update_by","is_active","name","type"
"1","2023-05-09T22:59:45.206","puzzle429@gmail.com","2023-05-09T22:59:45.206","puzzle429@gmail.com","true","Java Develop","SERVICE"
"2","2023-05-09T22:59:45.209","puzzle429@gmail.com","2023-05-09T22:59:45.209","puzzle429@gmail.com","false","Dot Net Develop","POSITION"
"3","2023-05-09T22:59:45.21","puzzle429@gmail.com","2023-05-09T22:59:45.21","puzzle429@gmail.com","true","Mobile Develop","POSITION"
"4","2023-05-09T22:59:45.211","puzzle429@gmail.com","2023-05-09T22:59:45.211","puzzle429@gmail.com","true","Flutter Develop","NULL"
"5","2023-05-09T22:59:45.212","puzzle429@gmail.com","2023-05-09T22:59:45.212","puzzle429@gmail.com","false","dot Net Develop","NULL"
"6","2023-05-09T22:59:45.213","puzzle429@gmail.com","2023-05-09T22:59:45.213","puzzle429@gmail.com","false","NULL","NULL"
"7","2023-05-09T22:59:45.215","puzzle429@gmail.com","2023-05-09T22:59:45.215","puzzle429@gmail.com","true","Java Develop","POSITION"
"8","2023-05-09T22:59:45.215","puzzle429@gmail.com","2023-05-09T22:59:45.215","puzzle429@gmail.com","true","Mobile Develop","NULL"
"9","2023-05-09T22:59:45.217","puzzle429@gmail.com","2023-05-09T22:59:45.217","puzzle429@gmail.com","false","NULL","NULL"
"10","2023-05-09T22:59:45.219","puzzle429@gmail.com","2023-05-09T22:59:45.219","puzzle429@gmail.com","true","Java Develop","POSITION"
"11","2023-05-09T22:59:45.221","puzzle429@gmail.com","2023-05-09T22:59:45.221","puzzle429@gmail.com","true","Flutter Develop","NULL"
"12","2023-05-09T22:59:45.222","puzzle429@gmail.com","2023-05-09T22:59:45.222","puzzle429@gmail.com","true","Java","SKILL"
